player,draft_year,position,position_group,model_group,college,round,pick,outcome_grade_pff_powered,position_model_score,ceiling_grade,floor_grade,starter_probability,elite_probability,bust_probability,outcome_tier,outlier_type,grade_explanation,projected_value,actual_value,actual_position_percentile,predicted_position_percentile
Jeff Hatch,2002,T,OT,OT,Pennsylvania,3.0,78.0,57.4,64.2,60.7,51.4,0.51,0.504,0.486,Depth / replacement-level profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.4,2.0,19.9,48.6
Matt Hill,2002,T,OT,OT,Boise St.,5.0,171.0,45.0,47.1,47.6,49.2,0.492,0.492,0.508,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.8,3.0,24.6,47.7
Chad Beasley,2002,T,OT,OT,Virginia Tech,7.0,218.0,31.1,27.8,32.8,48.2,0.48,0.476,0.518,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.3,2.0,19.9,46.9
Joaquin Gonzalez,2002,T,OT,OT,Miami (FL),7.0,227.0,23.9,17.7,25.1,48.1,0.478,0.474,0.519,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.2,9.0,39.8,46.3
Kevin Shaffer,2002,T,OT,OT,Tulsa,7.0,244.0,29.4,25.4,31.0,48.7,0.483,0.477,0.513,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.4,37.0,73.3,46.7
Victor Rogers,2002,T,OT,OT,Colorado,7.0,259.0,41.7,42.5,44.2,49.2,0.491,0.492,0.508,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.7,0.0,4.7,47.5
Jordan Gross,2003,T,OT,OT,Utah,1.0,8.0,75.9,90.0,80.3,52.3,0.526,0.511,0.477,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.1,69.0,93.8,50.1
George Foster,2003,T,OT,OT,Georgia,1.0,20.0,82.6,99.1,87.4,53.5,0.532,0.525,0.465,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,11.3,31.0,67.3,50.8
Kwame Harris,2003,T,OT,OT,Stanford,1.0,26.0,80.6,96.5,85.4,52.6,0.525,0.52,0.474,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,11.1,22.0,58.8,50.3
Jon Stinchcomb,2003,T,OT,OT,Georgia,2.0,37.0,61.4,69.7,64.8,51.4,0.516,0.501,0.486,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.7,45.0,80.4,49.3
Wayne Hunter,2003,T,OT,OT,Hawaii,3.0,73.0,59.5,67.1,62.8,51.2,0.515,0.501,0.488,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.6,13.0,46.4,49.1
Seth Wand,2003,T,OT,OT,NW Missouri St.,3.0,75.0,56.2,62.6,59.5,50.5,0.508,0.502,0.495,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.4,10.0,41.8,48.8
Wade Smith,2003,T,OT,OT,Memphis,3.0,78.0,54.3,60.0,57.3,50.4,0.506,0.492,0.496,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.3,43.0,78.2,48.5
Courtney Van Buren,2003,T,OT,OT,Ark-Pine Bluff,3.0,80.0,55.5,61.5,58.7,51.2,0.507,0.502,0.488,Depth / replacement-level profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.4,3.0,24.6,48.7
Brett Williams,2003,T,OT,OT,Florida St.,4.0,113.0,51.2,55.6,54.1,50.1,0.501,0.496,0.499,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.1,0.0,4.7,48.3
Ben Sobieski,2003,T,OT,OT,Iowa,5.0,151.0,34.4,32.4,36.3,48.2,0.487,0.479,0.518,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.6,0.0,4.7,47.2
Jordan Black,2003,T,OT,OT,Notre Dame,5.0,153.0,46.0,48.5,48.6,49.3,0.495,0.489,0.507,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.9,24.0,61.2,47.8
Tony Pashos,2003,T,OT,OT,Illinois,5.0,173.0,52.2,57.1,55.1,50.5,0.501,0.493,0.495,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.1,34.0,69.8,48.3
Makoa Freitas,2003,T,OT,OT,Arizona,6.0,208.0,46.8,49.7,49.3,49.2,0.494,0.482,0.508,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.8,7.0,34.6,47.8
Scott Kooistra,2003,T,OT,OT,North Carolina St.,7.0,215.0,47.9,51.2,50.6,49.7,0.497,0.488,0.503,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.9,6.0,31.9,47.9
Robert Gallery,2004,T,OT,OT,Iowa,1.0,2.0,82.6,99.2,87.4,53.3,0.528,0.519,0.467,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,11.3,38.0,73.8,50.9
Vernon Carey,2004,T,OT,OT,Miami (FL),1.0,19.0,82.5,98.9,87.1,54.5,0.537,0.519,0.455,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,11.5,44.0,79.3,50.8
Jacob Rogers,2004,T,OT,OT,USC,2.0,52.0,69.2,80.5,73.0,52.7,0.52,0.507,0.473,Rotational / contributor profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.0,0.0,4.7,49.8
Max Starks,2004,T,OT,OT,Florida,3.0,75.0,68.6,79.7,72.6,52.5,0.52,0.513,0.475,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.9,44.0,79.3,49.8
Sean Locklear,2004,T,OT,OT,North Carolina St.,3.0,84.0,55.9,62.1,59.0,50.9,0.507,0.497,0.491,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.4,39.0,74.3,48.8
Travelle Wharton,2004,T,OT,OT,South Carolina,3.0,94.0,53.3,58.5,56.3,50.8,0.505,0.496,0.492,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.4,45.0,80.4,48.6
Nat Dorsey,2004,T,OT,OT,Georgia Tech,4.0,115.0,55.9,62.1,59.1,51.3,0.506,0.5,0.487,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.4,7.0,34.6,48.9
Stacy Andrews,2004,T,OT,OT,Mississippi,4.0,123.0,58.3,65.3,61.4,51.9,0.511,0.496,0.481,Rotational / contributor profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.5,23.0,59.9,49.1
Adrian Jones,2004,T,OT,OT,Kansas,4.0,132.0,46.5,49.2,49.0,49.8,0.495,0.484,0.502,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.0,12.0,45.1,47.9
Kelly Butler,2004,T,OT,OT,Purdue,6.0,172.0,50.5,54.8,53.3,50.3,0.497,0.489,0.497,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.0,8.0,37.6,48.3
Kirk Chambers,2004,T,OT,OT,Stanford,6.0,176.0,39.7,39.8,41.9,48.8,0.486,0.48,0.512,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.7,9.0,39.8,47.5
Jim Molinaro,2004,T,OT,OT,Notre Dame,6.0,180.0,34.8,32.8,36.6,49.0,0.487,0.481,0.51,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.7,1.0,13.2,47.3
Dylan McFarland,2004,T,OT,OT,Montana,7.0,207.0,26.7,21.5,27.8,48.8,0.482,0.468,0.512,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.5,0.0,4.7,46.9
Shane Olivea,2004,T,OT,OT,Ohio St.,7.0,209.0,29.5,25.4,30.9,48.6,0.485,0.476,0.514,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.6,31.0,67.3,47.1
Kevin Sampson,2004,T,OT,OT,Syracuse,7.0,231.0,24.3,18.1,25.5,48.4,0.48,0.476,0.516,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.5,5.0,30.4,46.7
Jammal Brown,2005,T,OT,OT,Oklahoma,1.0,13.0,76.3,90.5,80.7,53.1,0.523,0.512,0.469,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.1,49.0,83.1,50.1
Alex Barron,2005,T,OT,OT,Florida St.,1.0,19.0,82.5,98.9,87.2,54.3,0.53,0.52,0.457,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,11.5,27.0,63.4,50.8
Michael Roos,2005,T,OT,OT,Eastern Washington,2.0,41.0,73.1,85.9,77.2,53.1,0.523,0.512,0.469,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.1,63.0,91.5,50.0
Khalif Barnes,2005,T,OT,OT,Washington,2.0,52.0,71.7,84.0,75.7,52.5,0.52,0.507,0.475,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.0,51.0,83.8,50.0
Adam Terry,2005,T,OT,OT,Syracuse,2.0,64.0,76.3,90.5,80.6,53.5,0.524,0.51,0.465,Starter-caliber profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.1,9.0,39.8,50.1
Trai Essex,2005,T,OT,OT,Northwestern,3.0,93.0,59.1,66.4,62.2,52.3,0.515,0.497,0.477,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.7,19.0,56.1,49.1
Adam Snyder,2005,T,OT,OT,Oregon,3.0,94.0,54.6,60.2,57.7,51.0,0.506,0.5,0.49,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.4,34.0,69.8,48.8
Nick Kaczur,2005,T,OT,OT,Toledo,3.0,100.0,53.7,59.1,56.6,50.9,0.506,0.492,0.491,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.4,37.0,73.3,48.7
Ray Willis,2005,T,OT,OT,Florida St.,4.0,105.0,52.6,57.5,55.5,51.1,0.504,0.494,0.489,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.3,10.0,41.8,48.5
David Stewart,2005,T,OT,OT,Mississippi St.,4.0,113.0,46.5,49.1,49.1,49.9,0.494,0.491,0.501,Depth / replacement-level profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.0,48.0,82.4,48.0
Todd Herremans,2005,T,OT,OT,Saginaw Valley St.,4.0,126.0,48.8,52.3,51.6,50.2,0.498,0.494,0.498,Depth / replacement-level profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.2,51.0,83.8,48.2
Daniel Loper,2005,T,OT,OT,Texas Tech,5.0,150.0,35.0,33.1,36.9,49.3,0.49,0.482,0.507,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.8,7.0,34.6,47.3
Anthony Alabi,2005,T,OT,OT,TCU,5.0,162.0,35.6,33.9,37.4,49.2,0.489,0.478,0.508,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.8,1.0,13.2,47.4
Frank Omiyale,2005,T,OT,OT,Tennessee Tech,5.0,163.0,46.4,49.1,48.9,50.0,0.496,0.484,0.5,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.0,17.0,53.2,48.0
Wesley Britt,2005,T,OT,OT,Alabama,5.0,164.0,46.5,49.1,49.0,50.4,0.494,0.486,0.496,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.1,3.0,24.6,48.0
Will Svitek,2005,T,OT,OT,Stanford,6.0,187.0,31.9,28.7,33.6,48.9,0.485,0.483,0.511,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.7,14.0,48.3,47.2
Joe Berger,2005,T,OT,OT,Michigan Tech,6.0,207.0,31.9,28.7,33.3,49.4,0.49,0.472,0.506,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.7,36.0,72.1,47.2
Rob Petitti,2005,T,OT,OT,Pittsburgh,6.0,209.0,43.4,44.7,45.6,50.4,0.497,0.483,0.496,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.0,9.0,39.8,47.8
Doug Nienhuis,2005,T,OT,OT,Oregon St.,7.0,254.0,25.8,20.3,27.1,48.4,0.482,0.475,0.516,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.5,0.0,4.7,46.8
D'Brickashaw Ferguson,2006,T,OT,OT,Virginia,1.0,4.0,80.8,96.6,85.5,53.2,0.526,0.522,0.468,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,11.5,58.0,88.4,51.0
Winston Justice,2006,T,OT,OT,USC,2.0,39.0,79.1,94.3,83.5,53.2,0.528,0.512,0.468,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.4,21.0,57.7,50.9
Daryn Colledge,2006,T,OT,OT,Boise St.,2.0,47.0,74.8,88.4,78.7,52.3,0.526,0.497,0.477,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.3,57.0,87.8,50.6
Marcus McNeill,2006,T,OT,OT,Auburn,2.0,50.0,81.7,97.7,86.1,54.7,0.532,0.515,0.453,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,11.6,48.0,82.4,51.2
Andrew Whitworth,2006,T,OT,OT,LSU,2.0,55.0,80.0,95.4,84.1,54.7,0.532,0.503,0.453,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,11.6,100.0,99.1,50.9
Jeremy Trueblood,2006,T,OT,OT,Boston Col.,2.0,59.0,74.9,88.4,79.0,52.9,0.52,0.51,0.471,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.2,35.0,70.8,50.6
Eric Winston,2006,T,OT,OT,Miami (FL),3.0,66.0,64.3,73.5,67.7,52.4,0.518,0.502,0.476,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.1,53.0,85.0,50.0
Paul McQuistan,2006,T,OT,OT,Weber St.,3.0,69.0,60.1,67.8,63.2,52.0,0.515,0.495,0.48,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.9,24.0,61.2,49.6
Rashad Butler,2006,T,OT,OT,Miami (FL),3.0,89.0,53.1,58.2,55.8,50.6,0.507,0.488,0.494,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,10.6,7.0,34.6,48.9
Jahri Evans,2006,T,OT,OT,Bloomsburg,4.0,108.0,49.7,53.4,52.2,50.9,0.504,0.487,0.491,Depth / replacement-level profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.5,114.0,99.9,48.6
Isaac Sowells,2006,T,OT,OT,Indiana,4.0,112.0,48.2,51.3,50.6,50.9,0.502,0.483,0.491,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.4,1.0,13.2,48.5
Ryan O'Callaghan,2006,T,OT,OT,California,5.0,136.0,53.2,58.2,56.0,52.3,0.508,0.494,0.477,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.7,11.0,43.6,48.9
Jonathan Scott,2006,T,OT,OT,Texas,5.0,141.0,42.7,43.8,45.0,50.2,0.494,0.486,0.498,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.2,17.0,53.2,48.0
Brad Butler,2006,T,OT,OT,Virginia,5.0,143.0,47.8,50.8,50.3,50.4,0.496,0.49,0.496,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.3,13.0,46.4,48.4
Tony Moll,2006,T,OT,OT,Nevada,5.0,165.0,37.8,36.9,39.8,49.3,0.489,0.486,0.507,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.1,13.0,46.4,47.8
Kevin Boothe,2006,T,OT,OT,Cornell,6.0,176.0,38.0,37.1,39.9,50.3,0.494,0.481,0.497,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.1,27.0,63.4,47.8
Jeromey Clary,2006,T,OT,OT,Kansas St.,6.0,187.0,34.3,32.0,36.0,49.5,0.489,0.481,0.505,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.1,47.0,81.6,47.6
Charlie Johnson,2006,T,OT,OT,Oklahoma St.,6.0,199.0,33.5,30.9,35.3,49.2,0.487,0.484,0.508,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.0,52.0,84.4,47.6
Pat McQuistan,2006,T,OT,OT,Weber St.,7.0,211.0,26.0,20.4,27.3,48.4,0.48,0.479,0.516,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.7,8.0,37.6,47.1
Terrance Pennington,2006,T,OT,OT,New Mexico,7.0,216.0,44.3,45.9,46.5,51.3,0.496,0.481,0.487,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.3,4.0,28.1,48.2
Joe Thomas,2007,T,OT,OT,Wisconsin,1.0,3.0,83.4,99.5,87.7,55.5,0.546,0.521,0.445,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,12.6,85.0,97.5,52.6
Levi Brown,2007,T,OT,OT,Penn St.,1.0,5.0,82.4,98.3,86.6,55.0,0.539,0.514,0.45,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,12.4,34.0,69.8,52.2
Joe Staley,2007,T,OT,OT,Central Michigan,1.0,28.0,69.3,80.4,73.1,52.7,0.522,0.51,0.473,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.7,81.0,96.9,51.0
Tony Ugoh,2007,T,OT,OT,Arkansas,2.0,42.0,78.9,93.6,82.9,53.7,0.537,0.507,0.463,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,12.1,17.0,53.2,51.7
James Marten,2007,T,OT,OT,Boston Col.,3.0,67.0,61.4,69.4,64.6,52.2,0.515,0.502,0.478,Rotational / contributor profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.5,0.0,4.7,50.5
Ryan Harris,2007,T,OT,OT,Notre Dame,3.0,70.0,65.2,74.8,68.5,52.0,0.517,0.495,0.48,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.5,33.0,69.0,50.8
Marshal Yanda,2007,T,OT,OT,Iowa,3.0,86.0,57.8,64.5,60.8,51.3,0.513,0.497,0.487,Depth / replacement-level profile,major_positive_outlier,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.3,92.0,98.4,50.1
Allen Barbre,2007,T,OT,OT,Missouri Southern,4.0,119.0,53.1,58.1,55.6,51.0,0.505,0.482,0.49,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,11.0,23.0,59.9,49.6
Doug Free,2007,T,OT,OT,Northern Illinois,4.0,122.0,53.5,58.6,56.2,51.0,0.505,0.491,0.49,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,11.0,49.0,83.1,49.7
Jermon Bushrod,2007,T,OT,OT,Towson,4.0,125.0,43.7,45.1,46.0,49.6,0.49,0.487,0.504,Depth / replacement-level profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.6,62.0,90.7,48.8
Brandon Frye,2007,T,OT,OT,Virginia Tech,5.0,163.0,49.6,53.2,51.8,50.5,0.503,0.476,0.495,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.8,2.0,19.9,49.3
Clint Oldenburg,2007,T,OT,OT,Colorado St.,5.0,171.0,34.7,32.4,36.4,49.2,0.485,0.482,0.508,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.4,0.0,4.7,48.4
Jacob Bender,2007,T,OT,OT,Nicholls St.,6.0,177.0,36.0,34.3,37.8,49.3,0.487,0.484,0.507,Low-probability profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.4,0.0,4.7,48.5
Adam Koets,2007,T,OT,OT,Oregon St.,6.0,189.0,35.9,34.1,37.5,49.2,0.493,0.477,0.508,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.5,3.0,24.6,48.5
Herbert Taylor,2007,T,OT,OT,TCU,6.0,196.0,33.4,30.6,35.0,49.1,0.486,0.482,0.509,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.4,2.0,19.9,48.3
Corey Hilliard,2007,T,OT,OT,Oklahoma St.,6.0,209.0,38.2,37.3,39.8,49.8,0.493,0.471,0.502,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.5,9.0,39.8,48.5
Michael Otto,2007,T,OT,OT,Purdue,7.0,223.0,21.2,13.7,22.1,47.9,0.474,0.471,0.521,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,9.9,7.0,34.6,47.5
Jake Long,2008,T,OT,OT,Michigan,1.0,1.0,81.4,96.9,85.7,54.8,0.536,0.519,0.452,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,12.4,54.0,85.6,52.2
Ryan Clady,2008,T,OT,OT,Boise St.,1.0,12.0,76.2,89.9,80.5,52.9,0.525,0.522,0.471,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.9,65.0,92.4,51.5
Chris Williams,2008,T,OT,OT,Vanderbilt,1.0,14.0,78.0,92.5,82.2,53.8,0.527,0.515,0.462,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,12.0,25.0,62.2,51.7
Gosder Cherilus,2008,T,OT,OT,Boston Col.,1.0,17.0,75.8,89.4,79.9,53.3,0.525,0.512,0.467,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.9,48.0,82.4,51.5
Jeff Otah,2008,T,OT,OT,Pittsburgh,1.0,19.0,78.1,92.5,82.1,54.5,0.532,0.508,0.455,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,12.2,14.0,48.3,51.7
Sam Baker,2008,T,OT,OT,USC,1.0,21.0,74.1,87.1,78.1,53.2,0.525,0.511,0.468,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,11.9,32.0,68.1,51.4
Duane Brown,2008,T,OT,OT,Virginia Tech,1.0,26.0,80.6,96.0,84.9,53.7,0.535,0.514,0.463,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,12.2,91.0,98.2,52.0
Mike Pollak,2008,T,OT,OT,Arizona St.,2.0,59.0,71.8,83.8,75.4,53.4,0.531,0.504,0.466,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.9,26.0,62.8,51.2
John Greco,2008,T,OT,OT,Toledo,3.0,65.0,65.2,74.6,68.2,53.1,0.521,0.489,0.469,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.7,29.0,65.3,50.9
Chad Rinehart,2008,T,OT,OT,Northern Iowa,3.0,96.0,57.9,64.5,60.6,52.4,0.516,0.489,0.476,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,11.4,23.0,59.9,50.3
Mike McGlynn,2008,T,OT,OT,Pittsburgh,4.0,109.0,54.1,59.3,56.4,52.0,0.508,0.479,0.48,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,11.2,29.0,65.3,49.8
Shawn Murphy,2008,T,OT,OT,Utah St.,4.0,110.0,52.6,57.2,54.8,52.0,0.508,0.477,0.48,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,11.2,0.0,4.7,49.7
Anthony Collins,2008,T,OT,OT,Kansas,4.0,112.0,51.4,55.5,53.6,52.0,0.507,0.48,0.48,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,11.1,16.0,51.7,49.7
Tony Hills,2008,T,OT,OT,Texas,4.0,130.0,45.0,46.8,47.3,49.7,0.494,0.487,0.503,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.7,3.0,24.6,49.0
David Hale,2008,T,OT,OT,Weber St.,4.0,133.0,45.8,48.0,47.9,50.4,0.494,0.478,0.496,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.7,1.0,13.2,49.1
Josh Sitton,2008,T,OT,OT,Central Florida,4.0,135.0,45.2,47.1,47.6,49.8,0.494,0.492,0.502,Depth / replacement-level profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,10.7,81.0,96.9,49.0
