player,draft_year,position,position_group,model_group,college,round,pick,projected_value,actual_value,actual_position_percentile,predicted_position_percentile,position_score,final_score,ceiling_score,floor_score,starter_probability,elite_probability,bust_probability,tier,outlier_type,model_explanation
Ryan Connelly,2019,LB,LB,LB,Wisconsin,5.0,143.0,6.7,4.0,34.2,43.4,7.7,13.8,13.8,62.5,0.281,0.2,0.375,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Dre Greenlaw,2019,LB,LB,LB,Arkansas,5.0,148.0,24.2,31.0,76.1,72.7,98.0,89.9,89.9,89.8,0.839,0.51,0.102,High-end starter / premium prospect profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Andrew Van Ginkel,2019,LB,LB,LB,Wisconsin,5.0,151.0,28.5,45.0,86.9,76.8,98.5,91.8,91.8,94.4,0.878,0.573,0.056,High-end starter / premium prospect profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Mack Wilson,2019,LB,LB,LB,Alabama,5.0,155.0,18.7,25.0,70.9,67.2,97.2,87.4,87.4,88.0,0.782,0.417,0.12,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Justin Hollins,2019,LB,LB,LB,Oregon,5.0,156.0,9.3,8.0,48.3,50.7,54.1,50.1,50.1,70.8,0.443,0.334,0.292,Depth / replacement-level profile,near_expected,lower draft-capital profile; private PFF-derived signals included
Blake Cashman,2019,LB,LB,LB,Minnesota,5.0,157.0,14.2,25.0,70.9,61.4,96.3,84.1,84.1,79.9,0.66,0.38,0.201,Starter-caliber profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Cameron Smith,2019,LB,LB,LB,USC,5.0,162.0,3.2,0.0,4.4,30.0,0.9,4.4,6.7,24.9,0.18,0.243,0.751,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
E.J. Speed,2019,LB,LB,LB,Tarleton St.,5.0,164.0,15.3,20.0,66.3,63.1,96.7,84.9,84.9,83.3,0.716,0.292,0.167,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; private PFF-derived signals included; high-end model grade; top-tier position profile
D'Andre Walker,2019,LB,LB,LB,Georgia,5.0,168.0,3.7,0.0,4.4,32.5,1.1,5.9,8.3,28.5,0.236,0.297,0.715,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Cole Holcomb,2019,LB,LB,LB,North Carolina,5.0,173.0,23.9,26.0,71.8,72.5,98.0,89.9,89.9,91.3,0.836,0.492,0.087,High-end starter / premium prospect profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
David Long,2019,LB,LB,LB,West Virginia,6.0,188.0,12.5,23.0,69.5,57.3,86.0,75.0,75.0,78.7,0.577,0.309,0.213,Starter-caliber profile,near_expected,lower draft-capital profile; private PFF-derived signals included; strong position profile
Emeke Egbule,2019,LB,LB,LB,Houston,6.0,200.0,4.2,2.0,22.5,35.0,1.2,5.7,6.0,34.8,0.189,0.203,0.652,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Ulysees Gilbert,2019,LB,LB,LB,Akron,6.0,207.0,4.4,2.0,22.5,36.4,1.5,6.8,6.8,43.6,0.213,0.197,0.564,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included; meaningful downside risk
Ty Summers,2019,LB,LB,LB,TCU,7.0,226.0,7.4,6.0,41.9,46.9,31.1,31.3,31.3,71.1,0.316,0.153,0.289,Low-probability profile,near_expected,lower draft-capital profile; private PFF-derived signals included
Kaden Elliss,2019,LB,LB,LB,Idaho,7.0,244.0,15.2,29.0,74.3,63.4,96.8,84.6,84.6,79.7,0.688,0.285,0.203,Starter-caliber profile,near_expected,lower draft-capital profile; private PFF-derived signals included; high-end model grade; top-tier position profile
Dakota Allen,2019,LB,LB,LB,Texas Tech,7.0,251.0,5.1,2.0,22.5,38.9,1.8,7.5,7.5,50.8,0.211,0.155,0.492,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Isaiah Simmons,2020,LB,LB,LB,Clemson,1.0,8.0,28.2,20.0,66.3,75.2,97.7,91.3,91.3,95.2,0.893,0.589,0.048,High-end starter / premium prospect profile,near_expected,premium draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Kenneth Murray,2020,LB,LB,LB,Oklahoma,1.0,23.0,27.5,32.0,77.1,74.7,97.6,91.0,91.0,92.9,0.879,0.603,0.071,High-end starter / premium prospect profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Jordyn Brooks,2020,LB,LB,LB,Texas Tech,1.0,27.0,36.8,43.0,85.5,81.8,98.9,94.3,94.3,97.9,0.958,0.674,0.021,High-end starter / premium prospect profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Patrick Queen,2020,LB,LB,LB,LSU,1.0,28.0,41.8,54.0,91.1,85.1,99.6,96.2,96.2,98.2,0.966,0.82,0.018,Elite / rare profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Joshua Uche,2020,LB,LB,LB,Michigan,2.0,60.0,11.4,9.0,50.7,54.9,72.9,65.0,65.0,74.1,0.516,0.373,0.259,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Willie Gay Jr.,2020,LB,LB,LB,Mississippi St.,2.0,63.0,27.9,27.0,72.6,74.6,97.6,91.0,91.0,95.3,0.908,0.521,0.047,High-end starter / premium prospect profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Logan Wilson,2020,LB,LB,LB,Wyoming,3.0,65.0,32.5,32.0,77.1,78.9,98.3,92.8,92.8,96.9,0.929,0.606,0.031,High-end starter / premium prospect profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Zack Baun,2020,LB,LB,LB,Wisconsin,3.0,74.0,19.6,39.0,82.7,68.3,96.3,87.0,87.0,88.3,0.804,0.384,0.117,Starter-caliber profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Terrell Lewis,2020,LB,LB,LB,Alabama,3.0,84.0,7.4,5.0,37.9,46.0,27.3,29.2,29.2,59.8,0.36,0.318,0.402,Low-probability profile,near_expected,Day 2 draft capital; private PFF-derived signals included
Anfernee Jennings,2020,LB,LB,LB,Alabama,3.0,87.0,15.8,22.0,68.4,63.8,95.6,85.1,85.1,80.6,0.748,0.411,0.194,Starter-caliber profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Jacob Phillips,2020,LB,LB,LB,LSU,3.0,97.0,7.6,5.0,37.9,46.7,31.3,32.3,32.3,64.0,0.366,0.314,0.36,Low-probability profile,near_expected,Day 2 draft capital; private PFF-derived signals included
Malik Harrison,2020,LB,LB,LB,Ohio St.,3.0,98.0,14.2,19.0,65.2,60.1,92.6,81.3,81.3,82.3,0.689,0.293,0.177,Starter-caliber profile,near_expected,Day 2 draft capital; private PFF-derived signals included; high-end model grade; strong position profile
Alex Highsmith,2020,LB,LB,LB,Charlotte,3.0,102.0,31.8,35.0,79.5,78.8,98.3,92.8,92.8,96.2,0.929,0.611,0.038,High-end starter / premium prospect profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Davion Taylor,2020,LB,LB,LB,Colorado,3.0,103.0,4.7,3.0,29.4,36.5,2.3,7.5,7.5,39.8,0.226,0.229,0.602,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Akeem Davis-Gaither,2020,LB,LB,LB,Appalachian St.,4.0,107.0,14.2,14.0,58.4,60.6,93.8,82.4,82.4,83.0,0.704,0.292,0.17,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; private PFF-derived signals included; high-end model grade; strong position profile
Mykal Walker,2020,LB,LB,LB,Fresno St.,4.0,119.0,18.2,16.0,60.8,65.9,96.1,86.3,86.3,90.6,0.779,0.362,0.094,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Troy Dye,2020,LB,LB,LB,Oregon,4.0,132.0,11.4,14.0,58.4,55.1,73.8,66.1,66.1,79.5,0.608,0.23,0.205,Rotational / contributor profile,near_expected,lower draft-capital profile; private PFF-derived signals included
Shaquille Quarterman,2020,LB,LB,LB,Miami (FL),4.0,140.0,7.0,5.0,37.9,45.3,21.3,23.8,23.8,68.9,0.29,0.157,0.311,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Khaleke Hudson,2020,LB,LB,LB,Michigan,5.0,162.0,7.5,7.0,45.5,46.6,30.9,31.0,31.0,68.2,0.318,0.159,0.318,Low-probability profile,near_expected,lower draft-capital profile; private PFF-derived signals included
Kamal Martin,2020,LB,LB,LB,Minnesota,5.0,175.0,3.3,4.0,34.2,30.7,1.4,4.6,5.6,28.0,0.172,0.182,0.72,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Justin Strnad,2020,LB,LB,LB,Wake Forest,5.0,178.0,10.0,14.0,58.4,52.1,59.4,54.5,54.5,75.1,0.516,0.229,0.249,Depth / replacement-level profile,near_expected,lower draft-capital profile; private PFF-derived signals included
Cam Brown,2020,LB,LB,LB,Penn St.,6.0,183.0,6.0,4.0,34.2,42.0,5.4,11.6,11.6,52.7,0.28,0.216,0.473,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Shaun Bradley,2020,LB,LB,LB,Temple,6.0,196.0,5.3,3.0,29.4,38.9,2.5,7.6,7.6,50.2,0.188,0.13,0.498,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Cassh Maluia,2020,LB,LB,LB,Wyoming,6.0,204.0,2.6,1.0,13.7,26.3,0.9,3.5,6.1,19.6,0.19,0.215,0.804,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Jordan Glasgow,2020,LB,LB,LB,Michigan,6.0,213.0,3.1,2.0,22.5,28.8,1.2,3.4,4.4,23.2,0.139,0.138,0.768,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Markus Bailey,2020,LB,LB,LB,Purdue,7.0,215.0,6.4,7.0,45.5,43.9,11.3,16.0,16.0,63.3,0.269,0.137,0.367,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Carter Coughlin,2020,LB,LB,LB,Minnesota,7.0,218.0,5.5,5.0,37.9,40.2,2.8,8.6,8.6,54.5,0.226,0.134,0.455,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Clay Johnston,2020,LB,LB,LB,Baylor,7.0,234.0,4.6,2.0,22.5,36.6,2.3,6.8,6.8,43.4,0.188,0.128,0.566,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included; meaningful downside risk
T.J. Brunson,2020,LB,LB,LB,South Carolina,7.0,238.0,2.2,0.0,4.4,23.5,0.1,1.6,4.3,15.4,0.136,0.17,0.846,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Chapelle Russell,2020,LB,LB,LB,Temple,7.0,241.0,3.4,2.0,22.5,30.4,1.4,4.0,4.2,27.1,0.143,0.127,0.729,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Derrek Tuszka,2020,LB,LB,LB,North Dakota St.,7.0,254.0,5.2,3.0,29.4,39.2,2.5,8.1,8.1,49.0,0.227,0.148,0.51,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Tae Crowder,2020,LB,LB,LB,Georgia,7.0,255.0,15.4,16.0,60.8,61.3,94.5,83.1,83.1,82.7,0.691,0.34,0.173,Starter-caliber profile,near_expected,lower draft-capital profile; private PFF-derived signals included; high-end model grade; strong position profile
Micah Parsons,2021,LB,LB,LB,Penn St.,1.0,12.0,36.3,67.0,95.2,82.1,99.3,95.1,95.1,97.6,0.955,0.768,0.024,Elite / rare profile,near_expected,premium draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Zaven Collins,2021,LB,LB,LB,Tulsa,1.0,16.0,29.5,24.0,70.2,76.2,97.6,91.8,91.8,97.6,0.941,0.556,0.024,High-end starter / premium prospect profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Jamin Davis,2021,LB,LB,LB,Kentucky,1.0,19.0,21.7,16.0,60.8,68.6,95.7,87.5,87.5,93.6,0.83,0.456,0.064,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Joe Tryon-Shoyinka,2021,OLB,LB,LB,Washington,1.0,32.0,24.2,23.0,69.5,71.5,96.3,89.1,89.1,95.6,0.864,0.501,0.044,High-end starter / premium prospect profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Azeez Ojulari,2021,OLB,LB,LB,Georgia,2.0,50.0,15.2,17.0,62.0,60.4,91.8,81.0,81.0,86.1,0.66,0.364,0.139,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Jeremiah Owusu-Koramoah,2021,LB,LB,LB,Notre Dame,2.0,52.0,24.5,22.0,68.4,71.9,96.4,89.3,89.3,94.2,0.857,0.547,0.058,High-end starter / premium prospect profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Nick Bolton,2021,LB,LB,LB,Missouri,2.0,58.0,34.3,30.0,75.2,79.7,98.5,93.4,93.4,97.8,0.946,0.629,0.022,High-end starter / premium prospect profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Pete Werner,2021,LB,LB,LB,Ohio St.,2.0,60.0,29.7,30.0,75.2,75.5,97.6,91.3,91.3,97.4,0.93,0.498,0.026,High-end starter / premium prospect profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Joseph Ossai,2021,LB,LB,LB,Texas,3.0,69.0,14.4,10.0,52.6,60.5,92.2,81.3,81.3,79.9,0.68,0.386,0.201,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Chazz Surratt,2021,LB,LB,LB,North Carolina,3.0,78.0,5.6,6.0,41.9,40.2,3.9,9.8,9.8,57.5,0.232,0.167,0.425,Low-probability profile,positive_outlier_exceeded_projection,Day 2 draft capital; low starter probability; private PFF-derived signals included
Monty Rice,2021,LB,LB,LB,Georgia,3.0,92.0,7.1,7.0,45.5,45.4,24.1,25.5,25.5,62.2,0.281,0.19,0.378,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included
Ernest Jones,2021,LB,LB,LB,South Carolina,3.0,103.0,31.5,37.0,81.0,77.7,97.9,92.5,92.5,97.5,0.942,0.596,0.025,High-end starter / premium prospect profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Baron Browning,2021,LB,LB,LB,Ohio St.,3.0,105.0,18.2,18.0,63.7,65.0,95.4,85.8,85.8,90.6,0.772,0.395,0.094,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Jabril Cox,2021,LB,LB,LB,LSU,4.0,115.0,3.7,3.0,29.4,32.5,2.4,5.4,5.6,32.0,0.144,0.154,0.68,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Jordan Smith,2021,OLB,LB,LB,Ala-Birmingham,4.0,121.0,2.5,0.0,4.4,26.4,1.2,3.6,7.4,19.8,0.15,0.26,0.802,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Buddy Johnson,2021,LB,LB,LB,Texas A&M,4.0,140.0,3.4,2.0,22.5,32.4,2.4,6.5,6.9,38.5,0.204,0.202,0.615,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Tony Fields,2021,LB,LB,LB,West Virginia,5.0,153.0,6.9,9.0,50.7,44.6,17.8,20.9,20.9,57.8,0.294,0.174,0.422,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Garret Wallow,2021,LB,LB,LB,TCU,5.0,170.0,6.0,5.0,37.9,42.1,6.7,12.2,12.2,60.6,0.245,0.132,0.394,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
K.J. Britt,2021,LB,LB,LB,Auburn,5.0,176.0,10.1,10.0,52.6,53.3,64.8,58.6,58.6,79.9,0.545,0.152,0.201,Rotational / contributor profile,near_expected,lower draft-capital profile; private PFF-derived signals included
Cameron McGrone,2021,LB,LB,LB,Michigan,5.0,177.0,3.7,2.0,22.5,33.7,2.7,7.0,7.2,40.2,0.196,0.209,0.598,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included; meaningful downside risk
Nick Niemann,2021,LB,LB,LB,Iowa,6.0,185.0,6.8,5.0,37.9,45.0,21.2,23.4,23.4,70.9,0.271,0.113,0.291,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Isaiah McDuffie,2021,LB,LB,LB,Boston Col.,6.0,220.0,14.7,19.0,65.2,61.8,94.0,83.0,83.0,86.4,0.751,0.212,0.136,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; private PFF-derived signals included; high-end model grade; strong position profile
William Bradley-King,2021,OLB,LB,LB,Baylor,7.0,240.0,2.6,0.0,4.4,26.7,1.2,3.9,6.7,23.4,0.171,0.232,0.766,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Grant Stuard,2021,LB,LB,LB,Houston,7.0,259.0,6.5,7.0,45.5,44.6,17.7,20.7,20.7,69.1,0.271,0.092,0.309,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Quay Walker,2022,LB,LB,LB,Georgia,1.0,22.0,29.0,22.0,68.4,75.7,97.4,91.6,91.6,96.5,0.93,0.595,0.035,High-end starter / premium prospect profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Jermaine Johnson II,2022,LB,LB,LB,Florida St.,1.0,26.0,17.5,19.0,65.2,64.3,94.6,85.2,85.2,86.3,0.759,0.481,0.137,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Devin Lloyd,2022,LB,LB,LB,Utah,1.0,27.0,33.5,35.0,79.5,79.2,98.3,93.6,93.6,96.9,0.948,0.721,0.031,High-end starter / premium prospect profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
David Ojabo,2022,LB,LB,LB,Michigan,2.0,45.0,6.0,3.0,29.4,41.3,6.9,12.7,12.7,51.9,0.27,0.267,0.481,Low-probability profile,near_expected,top-50 draft capital; low starter probability; private PFF-derived signals included
Troy Andersen,2022,LB,LB,LB,Montana St.,2.0,58.0,9.7,6.0,41.9,51.1,55.6,51.7,51.7,77.5,0.478,0.284,0.225,Depth / replacement-level profile,near_expected,Day 2 draft capital; private PFF-derived signals included
Drake Jackson,2022,OLB,LB,LB,USC,2.0,61.0,5.6,3.0,29.4,40.5,4.9,11.1,11.1,49.3,0.277,0.264,0.507,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included
Nik Bonitto,2022,OLB,LB,LB,Oklahoma,2.0,64.0,23.3,32.0,77.1,71.5,96.0,89.3,89.3,93.7,0.872,0.593,0.063,High-end starter / premium prospect profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Brian Asamoah,2022,LB,LB,LB,Oklahoma,3.0,66.0,7.3,3.0,29.4,45.8,29.8,29.8,29.8,61.9,0.304,0.196,0.381,Low-probability profile,near_expected,Day 2 draft capital; private PFF-derived signals included
Chad Muma,2022,LB,LB,LB,Wyoming,3.0,70.0,8.6,6.0,41.9,49.4,47.5,43.6,43.6,71.9,0.339,0.18,0.281,Depth / replacement-level profile,near_expected,Day 2 draft capital; private PFF-derived signals included
Christian Harris,2022,LB,LB,LB,Alabama,3.0,75.0,16.9,14.0,58.4,63.3,94.2,84.3,84.3,87.0,0.765,0.384,0.13,Starter-caliber profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Nakobe Dean,2022,LB,LB,LB,Georgia,3.0,83.0,16.5,14.0,58.4,63.6,94.5,84.6,84.6,87.7,0.78,0.341,0.123,Starter-caliber profile,near_expected,Day 2 draft capital; strong starter probability; private PFF-derived signals included; high-end model grade; strong position profile
Terrel Bernard,2022,LB,LB,LB,Baylor,3.0,89.0,25.5,25.0,70.9,72.9,96.5,89.6,89.6,95.2,0.909,0.455,0.048,High-end starter / premium prospect profile,near_expected,Day 2 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Channing Tindall,2022,LB,LB,LB,Georgia,3.0,102.0,5.6,3.0,29.4,40.6,5.2,10.1,10.1,50.2,0.195,0.174,0.498,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Leo Chenal,2022,LB,LB,LB,Wisconsin,3.0,103.0,18.4,20.0,66.3,65.6,95.0,85.5,85.5,88.3,0.805,0.332,0.117,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; private PFF-derived signals included; high-end model grade; top-tier position profile
Brandon Smith,2022,LB,LB,LB,Penn St.,4.0,120.0,2.9,1.0,13.7,28.9,1.8,4.2,6.2,21.5,0.157,0.196,0.785,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Micah McFadden,2022,LB,LB,LB,Indiana,5.0,146.0,19.6,18.0,63.7,66.7,95.1,86.6,86.6,92.4,0.848,0.376,0.076,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
D'Marco Jackson,2022,LB,LB,LB,Appalachian St.,5.0,161.0,5.9,6.0,41.9,42.9,12.1,16.0,16.0,56.1,0.249,0.161,0.439,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Damone Clark,2022,LB,LB,LB,LSU,5.0,176.0,14.3,14.0,58.4,59.3,85.0,76.1,76.1,82.6,0.71,0.292,0.174,Starter-caliber profile,near_expected,lower draft-capital profile; strong starter probability; private PFF-derived signals included; strong position profile
Darrian Beavers,2022,LB,LB,LB,Cincinnati,6.0,182.0,2.3,0.0,4.4,25.2,1.2,3.6,6.8,19.7,0.183,0.236,0.803,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Malcolm Rodriguez,2022,LB,LB,LB,Oklahoma St.,6.0,188.0,11.9,12.0,55.1,56.0,73.4,66.2,66.2,77.6,0.617,0.265,0.224,Rotational / contributor profile,near_expected,lower draft-capital profile; private PFF-derived signals included
Devin Harper,2022,LB,LB,LB,Oklahoma St.,6.0,193.0,2.4,0.0,4.4,26.0,1.4,2.8,5.1,17.4,0.127,0.161,0.826,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
James Houston,2022,LB,LB,LB,Jackson St.,6.0,217.0,5.0,4.0,34.2,38.7,3.8,9.4,9.4,51.4,0.253,0.163,0.486,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Chance Campbell,2022,LB,LB,LB,Mississippi,6.0,219.0,2.1,0.0,4.4,25.0,1.2,2.8,5.7,17.4,0.138,0.191,0.826,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Cameron Goode,2022,OLB,LB,LB,California,7.0,224.0,3.6,2.0,22.5,32.9,2.8,5.7,6.1,28.3,0.16,0.159,0.717,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Mark Robinson,2022,LB,LB,LB,Mississippi,7.0,225.0,5.5,4.0,34.2,39.8,4.1,9.0,9.0,51.2,0.201,0.111,0.488,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Baylon Spector,2022,LB,LB,LB,Clemson,7.0,231.0,4.9,5.0,37.9,38.2,3.6,8.1,8.1,46.1,0.189,0.126,0.539,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Daniel Hardy,2022,LB,LB,LB,Montana St.,7.0,235.0,3.8,3.0,29.4,32.8,2.8,6.0,6.0,34.3,0.169,0.144,0.657,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Rodney Thomas II,2022,LB,LB,LB,Yale,7.0,239.0,12.4,11.0,54.0,56.3,74.4,67.1,67.1,77.4,0.634,0.274,0.226,Rotational / contributor profile,near_expected,lower draft-capital profile; private PFF-derived signals included
Jeff Gunter,2022,OLB,LB,LB,Coastal Carolina,7.0,252.0,2.3,1.0,13.7,24.6,1.1,3.0,5.4,19.6,0.163,0.181,0.804,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Jesse Luketa,2022,LB,LB,LB,Penn St.,7.0,256.0,4.8,3.0,29.4,37.9,3.5,7.9,7.9,43.0,0.198,0.118,0.57,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included; meaningful downside risk
Will Anderson,2023,LB,LB,LB,Alabama,1.0,3.0,23.3,37.0,81.0,71.1,95.7,88.6,88.6,91.8,0.861,0.55,0.082,High-end starter / premium prospect profile,near_expected,premium draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Tyree Wilson,2023,OLB,LB,LB,Texas Tech,1.0,7.0,13.3,8.0,48.3,58.7,82.6,73.6,73.6,85.3,0.59,0.362,0.147,Rotational / contributor profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included
