player,draft_year,position,position_group,model_group,college,projected_pick,projected_round,projection_rank_source,overall_rank_2026,position_rank_2026,projection_score,ceiling_score,floor_score,starter_probability,elite_probability,bust_probability,projected_value,predicted_position_percentile,position_score,projection_tier,projection_explanation
Caleb Downs,2026.0,S,S,DB,Ohio St.,11.0,1.0,,1,1,84.2,87.8,69.1,0.673,0.694,0.309,15.503,65.162,93.9,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Caden Curry,2026.0,DE,EDGE,EDGE,Ohio St.,214.0,6.0,,231,20,28.8,30.3,43.3,0.428,0.418,0.567,6.889,44.741,26.5,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Deion Burks,2026.0,WR,WR,WR,Oklahoma,254.0,7.0,,232,35,28.6,29.5,42.6,0.403,0.364,0.574,4.174,43.621,27.2,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Domani Jackson,2026.0,CB,CB,DB,Alabama,201.0,6.0,,233,26,28.5,30.0,44.7,0.436,0.432,0.553,6.362,45.38,25.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Eli Heidenreich,2026.0,FB,RB,RB,Navy,230.0,7.0,,234,12,28.4,29.0,42.4,0.435,0.363,0.576,4.287,44.035,26.5,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Toriano Pride Jr.,2026.0,CB,CB,DB,Missouri,220.0,7.0,,235,27,28.0,29.5,45.0,0.444,0.434,0.55,6.49,45.249,24.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
TJ Hall,2026.0,CB,CB,DB,Iowa,219.0,7.0,,236,28,27.2,28.8,43.8,0.448,0.442,0.562,6.304,45.086,23.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Alex Harkey,2026.0,OT,OT,OT,Oregon,206.0,6.0,,237,20,27.1,27.8,44.7,0.44,0.399,0.553,9.506,45.394,23.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Jam Miller,2026.0,RB,RB,RB,Alabama,245.0,7.0,,238,13,26.5,27.4,41.7,0.43,0.38,0.583,4.264,43.642,23.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Anthony Smith,2026.0,WR,WR,WR,East Carolina,218.0,7.0,,239,36,25.8,27.2,40.2,0.402,0.386,0.598,4.118,42.935,23.4,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Jackson Kuwatch,2026.0,LB,LB,LB,Miami (OH),227.0,7.0,,239,23,25.8,26.6,43.0,0.423,0.38,0.57,6.584,43.882,22.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Landon Robinson,2026.0,NT,IDL,IDL,Navy,226.0,7.0,,241,24,24.9,25.7,43.1,0.452,0.405,0.569,6.37,44.439,20.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Michael Dansby,2026.0,DB,CB,DB,Arizona,255.0,7.0,,242,29,24.2,25.9,42.8,0.443,0.448,0.572,6.129,44.427,19.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Max Llewellyn,2026.0,DE,EDGE,EDGE,Iowa,238.0,7.0,,243,21,24.1,25.1,42.9,0.415,0.397,0.571,6.678,43.82,20.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Zach Durfee,2026.0,DE,EDGE,EDGE,Washington,233.0,7.0,,244,22,23.9,25.4,42.4,0.415,0.421,0.576,6.725,43.798,19.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Aiden Fisher,2026.0,LB,LB,LB,Indiana,243.0,7.0,,245,24,23.8,24.2,42.6,0.418,0.363,0.574,6.425,43.501,20.2,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Athan Kaliakmanis,2026.0,QB,QB,QB,Rutgers,223.0,7.0,,246,8,23.2,23.9,43.2,0.43,0.397,0.568,5.931,44.644,18.7,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Tyre West,2026.0,DT,IDL,IDL,Tennessee,222.0,7.0,,247,25,23.1,23.7,42.7,0.449,0.395,0.573,6.257,44.149,18.4,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Uar Bernard,2026.0,DT,IDL,IDL,,251.0,7.0,,247,25,23.1,23.7,42.9,0.449,0.396,0.571,6.307,44.15,18.4,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Parker Hughes,2026.0,LB,LB,LB,Middle Tenn. St.,240.0,7.0,,249,25,22.6,23.1,42.3,0.417,0.365,0.577,6.418,43.32,18.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Behren Morton,2026.0,QB,QB,QB,Texas Tech,234.0,7.0,,250,9,22.2,22.9,42.9,0.429,0.395,0.571,5.879,44.473,17.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Rayshaun Benny,2026.0,DT,IDL,IDL,Michigan,250.0,7.0,,251,27,22.1,22.3,42.8,0.443,0.374,0.572,6.203,43.782,17.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Red Murdock,2026.0,LB,LB,LB,Buffalo,257.0,7.0,,252,26,21.9,22.2,41.9,0.416,0.358,0.581,6.36,43.145,17.7,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Keyshawn James-Newby,2026.0,DE,EDGE,EDGE,New Mexico,252.0,7.0,,253,23,21.3,22.7,41.2,0.408,0.409,0.588,6.453,43.027,16.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Garrett Nussmeier,2026.0,QB,QB,QB,LSU,249.0,7.0,,254,10,21.1,21.6,43.0,0.425,0.382,0.57,5.769,44.238,16.0,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Carsen Ryan,2026.0,TE,TE,TE,BYU,248.0,7.0,,255,22,20.9,21.3,40.9,0.422,0.369,0.591,2.765,43.806,16.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Quintayvious Hutchins,2026.0,DE,EDGE,EDGE,Boston Col.,247.0,7.0,,256,24,20.5,21.6,40.8,0.405,0.392,0.592,6.28,42.599,15.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Ar'maj Reed-Adams,2026.0,G,IOL,IOL,Texas A&M,241.0,7.0,,257,22,17.7,18.8,45.3,0.45,0.467,0.547,11.039,46.064,9.5,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
